id_day,day,id_teacher,id_space,name,id_building,id_headquarters,building_name,id_university_subject,full_name,semesters,university_subject_code,entry_time,departure_time,group,hours,id_authorization_program,id_program,program_code,program_full_name,id_university_period,id_day_time_slot,id_time_slot
2,Tuesday,T025,1,Salon 1,2,1,Sede Villa Campestre,519,Matemáticas Básicas,1,111023C,07:00:00,09:00:00,53,2,20,11,3643,Nutricion y dietetica,4,9,1
5,Friday,T002,24,Sala De Sistemas 2,3,1,Sede Principe,141,Ciberseguridad,10,750024C,10:00:00,13:00:00,50,3,3,1,3743,Ingeniería de Sistemas,4,35,3
3,Wednesday,T143,20,salon 13,3,1,Sede Principe,962,Taller Construcción de Infraestructura Urbana I,5,502028C,14:00:00,18:00:00,51,4,5,4,3554,Construccion,6,21,5
2,Tuesday,T110,8,salon 1,3,1,Sede Principe,502,Política y Problemática Social,6,207021M,14:00:00,18:00:00,50,4,6,5,3249,Trabajo social,8,13,5
2,Tuesday,T195,21,salon 14,3,1,Sede Principe,1043,SISTEMA DE CONTROL AMBIENTAL INSTALACIONES II,6,502032C,14:00:00,17:00:00,50,3,5,4,3554,Construccion,9,13,5
4,Thursday,T176,12,salon 5,3,1,Sede Principe,1009,ANÁLISIS Y DISEÑO DE ALGORITMOS II,6,750020C,15:00:00,18:00:00,51,3,2,1,3743,Ingeniería de Sistemas,10,30,6
2,Tuesday,T047,5,Salon 5,2,1,Sede Villa Campestre,718,Inglés con fines generales y académicos I,3,204025C,18:20:00,22:20:00,55,4,23,2,3845,Administracion de empresas,10,16,8
1,Monday,T153,4,Salon 4,2,1,Sede Villa Campestre,906,Costos,5,802026C,15:00:00,18:00:00,50,3,18,6,3841,Contaduría Publica,7,6,6
5,Friday,T125,12,salon 5,3,1,Sede Principe,535,Materiales de Construcción II ,3,502021C,14:00:00,17:00:00,50,3,5,4,3554,Construccion,8,37,5
6,Saturday,T235,11,salon 4,3,1,Sede Principe,1012,Desarrollo de Software II,6,750021C,10:00:00,13:00:00,51,3,2,1,3743,Ingeniería de Sistemas,10,42,2
4,Thursday,T002,17,salon 10,3,1,Sede Principe,69,Introducción a la Ingeniería,1,701003C,07:00:00,09:00:00,50,2,2,1,3743,Ingeniería de Sistemas,5,25,1
1,Monday,T060,5,Salon 5,2,1,Sede Villa Campestre,837,Proyecto Integrador I (Proyecto Tecnológico),5,750018C,14:00:00,17:00:00,50,3,14,8,2724,Tecnología en Desarrollo de Software,5,5,5
5,Friday,T185,18,salon 11,3,1,Sede Principe,82,Cálculo Multivariable,3,111022C,14:00:00,16:00:00,53,2,2,1,3743,Ingeniería de Sistemas,9,37,5
6,Saturday,T093,10,Sala de Sistemas 3,3,1,Sede Principe,815,Costos y Presupuestos Gerenciales,4,802028C,14:00:00,17:00:00,50,3,23,2,3845,Administracion de empresas,9,45,5
3,Wednesday,T075,18,salon 11,3,1,Sede Principe,322,Estructuras I,2,502014C,07:00:00,10:00:00,50,3,5,4,3554,Construccion,3,17,1
2,Tuesday,T098,18,salon 11,3,1,Sede Principe,713,"Introducción al Derecho y Constitución Política 
(Formación social y ciudadana) ",1,801042C,18:20:00,21:20:00,50,3,23,2,3845,Administracion de empresas,6,15,7
4,Thursday,T067,15,Sala de Sistemas 4,3,1,Sede Principe,221,Comercio Exterior,7,801062M,10:00:00,13:00:00,50,3,25,2,3845,Administracion de empresas,3,26,2
3,Wednesday,T105,15,Sala de Sistemas 4,3,1,Sede Principe,467,Cálculo Monovariable,2,111021C,10:00:00,13:00:00,51,3,29,8,2724,Tecnología en Desarrollo de Software,4,18,2
2,Tuesday,T082,2,Salon 2,2,1,Sede Villa Campestre,307,Empaques Para el Manejo de Alimentos,8,745068M,10:00:00,13:00:00,50,3,16,3,3753,Ingeniería de Alimentos,3,10,2
6,Saturday,T085,24,Sala De Sistemas 2,3,1,Sede Principe,385,Taller de habilidades informáticas para la gestión (Científico tecnológico),1,801044C,10:00:00,13:00:00,53,3,18,6,3841,Contaduría Publica,3,42,2
4,Thursday,T034,23,Sala De Sistemas 1	,3,1,Sede Principe,295,Informática I,2,750002C,09:00:00,12:00:00,51,3,7,3,3753,Ingeniería de Alimentos,3,27,3
1,Monday,T033,12,salon 5,3,1,Sede Principe,191,Pensamiento Contemporáneo de la Administración y las Organizaciones,3,801091C,14:00:00,17:00:00,50,3,19,2,3845,Administracion de empresas,7,5,5
4,Thursday,T026,9,salon 2,3,1,Sede Principe,556,Probabilidad y Estadistica,4,761001C,14:00:00,18:00:00,50,4,14,8,2724,Tecnología en Desarrollo de Software,10,29,5
6,Saturday,T010,12,salon 5,3,1,Sede Principe,189,"Habilidades para la Vida: Descubriendo el Potencial del ser Emocional, Afectivo, Cognitivo y Social",2,999060M,18:20:00,21:20:00,50,3,23,2,3845,Administracion de empresas,3,47,7
1,Monday,T221,18,salon 11,3,1,Sede Principe,1149,Costos II,6,802056C,09:00:00,12:00:00,50,3,18,6,3841,Contaduría Publica,8,3,3
2,Tuesday,T025,21,salon 14,3,1,Sede Principe,1185,MATEMÁTICA FUNDAMENTAL,1,111001C,07:00:00,10:00:00,50,3,33,13,3150,Agroindustria,10,9,1
